PID,Archive ID,Letter Number,Archive URL,iFrame
p00yh7nz,262870,2260,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262870,http://www.bu.edu/dbin/archives/content/holdings/LFA2260/HTML 
p00yh7nf,262875,2261,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262875,http://www.bu.edu/dbin/archives/content/holdings/LFA2261/HTML 
p00yh89c,262881,2262,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262881,http://www.bu.edu/dbin/archives/content/holdings/LFA2262/HTML 
p00yh7n9,262886,2263,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262886,http://www.bu.edu/dbin/archives/content/holdings/LFA2263/HTML 
p00yh7n1,262897,2264,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262897,http://www.bu.edu/dbin/archives/content/holdings/LFA2264/HTML 
p00yh7mv,262906,2265,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262906,http://www.bu.edu/dbin/archives/content/holdings/LFA2265/HTML 
p00yh7ll,262913,2267,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262913,http://www.bu.edu/dbin/archives/content/holdings/LFA2267/HTML 
p00ylf03,263168,2339,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=263168,http://www.bu.edu/dbin/archives/content/holdings/LFA2339/HTML 
p00yh7l2,277981,2268,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=277981,http://www.bu.edu/dbin/archives/content/holdings/LFA2268/HTML 
p00yh7jt,277989,2270,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=277989,http://www.bu.edu/dbin/archives/content/holdings/LFA2270/HTML 
p00yh7hr,277993,2273,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=277993,http://www.bu.edu/dbin/archives/content/holdings/LFA2273/HTML 
p00yh7h7,277996,2274,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=277996,http://www.bu.edu/dbin/archives/content/holdings/LFA2274/HTML 
p00ylfr3,278002,2290,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278002,http://www.bu.edu/dbin/archives/content/holdings/LFA2290/HTML 
p00ylfqm,278007,2291,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278007,http://www.bu.edu/dbin/archives/content/holdings/LFA2291/HTML 
p00ylfq1,278011,2292,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278011,http://www.bu.edu/dbin/archives/content/holdings/LFA2292/HTML 
p00ylfnv,278014,2293,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278014,http://www.bu.edu/dbin/archives/content/holdings/LFA2293/HTML 
